node_id,community_id,community_size
J008-001,0,6
J008-002,0,6
J008-004,0,6
J008-005,0,6
J008-006,0,6
J008-007,0,6
J009-001,1,2
J009-002,1,2
J010-001,2,3
J010-002,2,3
J010-003,2,3
J020-001,3,5
J020-002,3,5
J020-003,3,5
J020-006,3,5
J020-007,3,5
J021-001,4,3
J021-002,4,3
J021-003,4,3
J022-001,5,3
J022-003,5,3
J022-004,5,3
J023-001,6,6
J023-002,6,6
J023-004,6,6
J023-005,6,6
J023-006,6,6
J023-008,6,6
J024-001,7,3
J024-002,7,3
J024-004,7,3
J027-001,8,5
J027-002,8,5
J027-003,8,5
J027-004,8,5
J027-005,8,5
J029-001,9,3
J029-002,9,3
J029-003,9,3
J030-001,10,3
J030-003,10,3
J030-004,10,3
J031-001,11,2
J031-002,11,2
J033-001,12,5
J033-002,12,5
J033-005,12,5
J033-007,12,5
J033-008,12,5
J037-001,13,4
J037-002,13,4
J037-003,13,4
J037-004,13,4
J039-001,14,6
J039-002,14,6
J039-003,14,6
J039-005,14,6
J039-006,14,6
J039-007,14,6
J041-001,15,5
J041-002,15,5
J041-003,15,5
J041-004,15,5
J041-005,15,5
J042-001,16,3
J042-003,16,3
J042-004,16,3
J043-001,17,6
J043-002,17,6
J043-003,17,6
J043-004,17,6
J043-005,17,6
J043-006,17,6
J044-001,18,7
J044-002,18,7
J044-003,18,7
J044-004,18,7
J044-005,18,7
J044-006,18,7
J044-007,18,7
J047-001,19,3
J047-002,19,3
J047-003,19,3
J048-001,20,5
J048-002,20,5
J048-003,20,5
J048-004,20,5
J048-005,20,5
J050-001,21,4
J050-002,21,4
J050-003,21,4
J050-004,21,4
J053-001,22,3
J053-002,22,3
J053-003,22,3
J054-001,23,4
J054-002,23,4
J054-003,23,4
J054-004,23,4
J055-001,24,2
J055-004,24,2
J057-001,25,4
J057-002,25,4
J057-003,25,4
J057-004,25,4
J059-001,26,5
J059-002,26,5
J059-003,26,5
J059-004,26,5
J059-005,26,5
J063-001,27,5
J063-002,27,5
J063-003,27,5
J063-004,27,5
J063-005,27,5
J064-001,28,3
J064-002,28,3
J064-003,28,3
J067-001,29,5
J067-002,29,5
J067-005,29,5
J067-006,29,5
J067-007,29,5
J068-001,30,2
J068-002,30,2
J070-001,31,4
J070-002,31,4
J070-003,31,4
J070-004,31,4
J072-001,32,2
J072-003,32,2
J073-001,33,3
J073-002,33,3
J073-003,33,3
J075-001,34,3
J075-003,34,3
J075-004,34,3
J076-001,35,2
J076-002,35,2
J077-001,36,4
J077-002,36,4
J077-003,36,4
J077-005,36,4
S004-001,37,3
S004-002,37,3
S004-003,37,3
S005-001,38,3
S005-002,38,3
S005-003,38,3
S006-001,39,6
S006-003,39,6
S006-004,39,6
S006-006,39,6
S006-008,39,6
S006-010,39,6
S007-001,40,8
S007-002,40,8
S007-003,40,8
S007-004,40,8
S007-005,40,8
S007-006,40,8
S007-007,40,8
S007-008,40,8
S008-001,41,3
S008-002,41,3
S008-003,41,3
S009-001,42,3
S009-002,42,3
S009-003,42,3
S011-001,43,5
S011-002,43,5
S011-003,43,5
S011-004,43,5
S011-005,43,5
S012-001,44,3
S012-002,44,3
S012-003,44,3
S015-001,45,4
S015-002,45,4
S015-003,45,4
S015-004,45,4
S016-001,46,3
S016-002,46,3
S016-003,46,3
S018-001,47,4
S018-003,47,4
S018-004,47,4
S018-005,47,4
S020-001,48,2
S020-002,48,2
S021-001,49,6
S021-002,49,6
S021-003,49,6
S021-004,49,6
S021-005,49,6
S021-006,49,6
S023-001,50,3
S023-002,50,3
S023-003,50,3
S026-001,51,6
S026-003,51,6
S026-005,51,6
S026-007,51,6
S026-008,51,6
S026-009,51,6
S028-001,52,5
S028-002,52,5
S028-003,52,5
S028-004,52,5
S028-005,52,5
S030-001,53,2
S030-002,53,2
S031-001,54,4
S031-002,54,4
S031-003,54,4
S031-005,54,4
S032-001,55,2
S032-005,55,2
S033-001,56,4
S033-002,56,4
S033-003,56,4
S033-004,56,4
S036-001,57,4
S036-002,57,4
S036-003,57,4
S036-004,57,4
S039-001,58,4
S039-002,58,4
S039-003,58,4
S039-004,58,4
S040-001,59,4
S040-002,59,4
S040-003,59,4
S040-004,59,4
S044-001,60,3
S044-002,60,3
S044-003,60,3
S045-001,61,6
S045-002,61,6
S045-003,61,6
S045-004,61,6
S045-005,61,6
S045-006,61,6
S046-001,62,2
S046-002,62,2
S047-001,63,2
S047-003,63,2
S048-001,64,4
S048-002,64,4
S048-005,64,4
S048-006,64,4
S049-001,65,4
S049-003,65,4
S049-004,65,4
S049-005,65,4
S050-001,66,5
S050-002,66,5
S050-003,66,5
S050-004,66,5
S050-005,66,5
S051-001,67,2
S051-004,67,2
S052-001,68,3
S052-002,68,3
S052-003,68,3
S053-001,69,3
S053-002,69,3
S053-003,69,3
S056-001,70,3
S056-003,70,3
S056-004,70,3
S057-001,71,4
S057-002,71,4
S057-003,71,4
S057-004,71,4
S060-001,72,4
S060-002,72,4
S060-003,72,4
S060-004,72,4
S061-001,73,5
S061-002,73,5
S061-003,73,5
S061-004,73,5
S061-005,73,5
S062-001,74,5
S062-002,74,5
S062-003,74,5
S062-005,74,5
S062-007,74,5
S063-001,75,4
S063-002,75,4
S063-003,75,4
S063-004,75,4
